source	target	pvalue	threshold
WASP/JANET VAN DYNE PYM	WONDER MAN/SIMON WILLIAMS 	2.257585315042212e-149	4.757852431019942e-10
MEDUSA/MEDUSALITH AMAQUELIN [INHUMAN]	TRITON	4.686025939990004e-149	4.757852431019942e-10
BANNER, BETTY ROSS TALBOT	TALBOT, GLENN	9.35935888605247e-149	4.757852431019942e-10
ROBERTSON, JOE	WATSON-PARKER, MARY JANE	3.961012255520339e-148	4.757852431019942e-10
GAMBIT/REMY LEBEAU 	ROGUE /	5.3922790930270134e-148	4.757852431019942e-10
CANNONBALL II/SAM GUTHRIE 	WARLOCK III	3.2224467777026994e-147	4.757852431019942e-10
IRON MAN IV/JAMES R. JIM RHODEY RHODES	IRON MAN/TONY STARK 	5.966653080300496e-147	4.757852431019942e-10
ANGEL/WARREN KENNETH WORTHINGTON III 	PROFESSOR X/CHARLES FRANCIS XAVIER 	5.977318069868944e-147	4.757852431019942e-10
HULK/DR. ROBERT BRUCE BANNER 	TALBOT, GLENN	8.329012268338275e-147	4.757852431019942e-10
CHAMBER/JONOTHON STARSMORE	SYNCH/EVERETT THOMAS	4.718699908657861e-146	4.757852431019942e-10
BOOMER/TABITHA SMITH	RICTOR/JULIO ESTEBAN RICHTER	1.4416466712415731e-145	4.757852431019942e-10
MICROCHIP/LINUS LIEBERMAN   /BART   	PUNISHER II/FRANK CASTIGLIONE/FRANK CASTLE	2.047478026901775e-145	4.757852431019942e-10
AURORA/JEANNE-MARIE BAUBIER	HUDSON, HEATHER	6.460887641448576e-145	4.757852431019942e-10
HUDSON, HEATHER	SHAMAN/MICHAEL TWOYOUNGMAN	3.3233829852380114e-144	4.757852431019942e-10
HEIMDALL [ASGARDIAN]	ODIN [ASGARDIAN]	5.642293100965609e-144	4.757852431019942e-10
PENANCE/MONET ST. CROIX	SKIN/ANGELO ESPINOSA	6.877078564759811e-144	4.757852431019942e-10
ANT-MAN/DR. HENRY J. PYM	CAPTAIN AMERICA	4.52630782084483e-143	4.757852431019942e-10
AURORA/JEANNE-MARIE BAUBIER	PUCK/EUGENE MILTON JUDD	4.502446811201516e-142	4.757852431019942e-10
CAPTAIN AMERICA	THOR/DR. DONALD BLAKE/SIGURD JARLSON II/JAKE OLSON/LOREN OLSON 	1.3132205083031922e-141	4.757852431019942e-10
JARVIS, EDWIN 	VISION 	1.3076653156683237e-140	4.757852431019942e-10
CAPTAIN AMERICA	JARVIS, EDWIN 	8.631121331482392e-140	4.757852431019942e-10
LOCKHEED	NIGHTCRAWLER/KURT WAGNER 	1.1002342111647977e-139	4.757852431019942e-10
JUBILEE/JUBILATION LEE 	SKIN/ANGELO ESPINOSA	8.493111317251863e-139	4.757852431019942e-10
ICEMAN/ROBERT BOBBY DRAKE	PROFESSOR X/CHARLES FRANCIS XAVIER 	9.874902283551499e-138	4.757852431019942e-10
HEIMDALL [ASGARDIAN]	HOGUN [ASGARDIAN]	1.1824063842516135e-136	4.757852431019942e-10
BANNER, BETTY ROSS TALBOT	JONES, RICHARD MILHOUSE RICK	1.509935143089215e-135	4.757852431019942e-10
MIRAGE II/DANIELLE MOONSTAR 	WARLOCK III	2.5633392083425134e-135	4.757852431019942e-10
THOR/DR. DONALD BLAKE/SIGURD JARLSON II/JAKE OLSON/LOREN OLSON 	VISION 	1.3017965014539228e-134	4.757852431019942e-10
FANDRAL [ASGARDIAN]	HEIMDALL [ASGARDIAN]	1.9910455137021274e-134	4.757852431019942e-10
LEECH	MADDICKS, ARTHUR ARTIE	3.281041824417365e-134	4.757852431019942e-10
CHAMBER/JONOTHON STARSMORE	JUBILEE/JUBILATION LEE 	1.2494315402998108e-133	4.757852431019942e-10
MAGIK/ILLYANA RASPUTINA	MIRAGE II/DANIELLE MOONSTAR 	2.693073277030948e-133	4.757852431019942e-10
CLEA	WONG	3.734408321393652e-133	4.757852431019942e-10
RESTON, CLIVE	SMITH, SIR DENIS NAYLAND	8.291357803754454e-133	4.757852431019942e-10
CANNONBALL II/SAM GUTHRIE 	THUNDERBIRD II/JAMES PROUDSTAR	9.78581364803684e-133	4.757852431019942e-10
JAMESON, J. JONAH	THOMPSON, EUGENE FLASH	1.2993501062724883e-132	4.757852431019942e-10
ALRAUNE, MARLENE	FRENCHIE/JEAN-PAUL DUCHAMP	5.73080711693739e-132	4.757852431019942e-10
PSYLOCKE/ELISABETH BETSY BRADDOCK 	STORM/ORORO MUNROE Subscribe!	1.1209674282281079e-131	4.757852431019942e-10
SIRYN/THERESA ROURKE CASSIDY	THUNDERBIRD II/JAMES PROUDSTAR	2.0497508054434547e-131	4.757852431019942e-10
LIGHTSPEED/JULIE POWER	POWER, DR. JIM	1.1009064649077416e-130	4.757852431019942e-10
COUNTERWEIGHT/JACK POWER	POWER, DR. JIM	1.1009064649077416e-130	4.757852431019942e-10
HUSK/PAIGE GUTHRIE	JUBILEE/JUBILATION LEE 	1.4441292726347174e-130	4.757852431019942e-10
SHADOWCAT/KATHERINE KITTY PRYDE 	STORM/ORORO MUNROE Subscribe!	1.6693075040787922e-130	4.757852431019942e-10
BALDER [ASGARDIAN]	KARNILLA [ASGARDIAN]	2.7266777508845106e-130	4.757852431019942e-10
COUNTERWEIGHT II/KATIE POWER	POWER, DR. JIM	9.247317096644923e-130	4.757852431019942e-10
IRON MAN/TONY STARK 	THOR/DR. DONALD BLAKE/SIGURD JARLSON II/JAKE OLSON/LOREN OLSON 	9.90754900991121e-130	4.757852431019942e-10
KA-ZAR/KEVIN PLUNDER	SHANNA/SHANNA O'HARA PLUNDER	2.5019541564630457e-128	4.757852431019942e-10
AURORA/JEANNE-MARIE BAUBIER	SASQUATCH/WALTER LANGKOWSKI	8.060924035903654e-128	4.757852431019942e-10
SKIN/ANGELO ESPINOSA	WHITE QUEEN/EMMA FROST	1.2186759333646983e-127	4.757852431019942e-10
NORTHSTAR/JEAN-PAUL BAUBIER	SASQUATCH/WALTER LANGKOWSKI	1.5428063188932865e-127	4.757852431019942e-10
DUGAN, TIMOTHY ALOYISIOUS DUM DUM	JONES, GABE	2.109266127324097e-127	4.757852431019942e-10
NIGHT THRASHER/DUANE TAYLOR	NOVA/RICHARD RIDER	3.3299040831020866e-127	4.757852431019942e-10
BALDER [ASGARDIAN]	LOKI [ASGARDIAN]	1.6779320384130884e-126	4.757852431019942e-10
HUSK/PAIGE GUTHRIE	PENANCE/MONET ST. CROIX	6.699900853940655e-126	4.757852431019942e-10
SCARLET WITCH/WANDA MAXIMOFF	THOR/DR. DONALD BLAKE/SIGURD JARLSON II/JAKE OLSON/LOREN OLSON 	1.0604739682865952e-125	4.757852431019942e-10
BLACK WIDOW/NATASHA ROMANOVA	HERCULES [GREEK GOD]	1.454276499937438e-125	4.757852431019942e-10
HUSK/PAIGE GUTHRIE	WHITE QUEEN/EMMA FROST	1.9020002458468583e-125	4.757852431019942e-10
CHAMBER/JONOTHON STARSMORE	WHITE QUEEN/EMMA FROST	1.9020002458468583e-125	4.757852431019942e-10
MAGIK/ILLYANA RASPUTINA	WOLFSBANE/RAHNE SINCLAIR	1.9929667956114313e-125	4.757852431019942e-10
DRAKE, FRANKLIN	VAN HELSING, RACHEL	5.421547564398296e-125	4.757852431019942e-10
SMITH, SIR DENIS NAYLAND	WU, LEIKO	7.124258393656066e-125	4.757852431019942e-10
