character	comicbook
AGAMEMNON III/	H2 398
AGAMEMNON III/	H2 399
AGAMEMNON III/	H2 400
AGAMEMNON III/	H2 421
AGAMEMNON III/	H2 422
AGAMEMNON III/	H2 423
AGAMEMNON III/	H2 424
AGAMEMNON III/	H2 425
AGAMOTTO	M/PRM 5
AGAMOTTO	M/PRM 8
AGAMOTTO	DRSTR2 1
AGAMOTTO	DRSTR2 5
AGAMOTTO	M/TU 77
AGAMOTTO	DRSTR3 6
AGAMOTTO	DRSTR3 7
AGAMOTTO	DRSTR3 32
AGAMOTTO	DRSTR3 43
AGAMOTTO	DRSTR3 48
AGAMOTTO	DRSTR3 49
AGAMOTTO	DRSTR3 50
AGARN, CAPT.	ABOM 1
AGED GENGHIS	DSDDGN
AGED GENGHIS	ST 136/2
AGED GENGHIS	DRSTR2 7
AGED GENGHIS	DRSTR2 9
AGED GENGHIS	DRSTR2 10
AGED GENGHIS	DRSTR2 11
AGED GENGHIS	DRSTR2 12
AGED GENGHIS	DRSTR2 57
AGEE, DR. AUBREY	UX 359
AGEE, DR. AUBREY	UX 353
AGEE, DR. AUBREY	UX 355
AGEE, DR. AUBREY	UX 356
AGEE, DR. AUBREY	UX 357
AGEE, REBECCA	UX 359
AGEE, REBECCA	UX 357
AGENT AXIS/	INV@ 1
AGENT AXIS/	INV 26
AGENT AXIS/	INV 27
AGENT AXIS/	INV 28
AGENT 18/JACK TRUMAN	C2 59
AGENT 18/JACK TRUMAN	C2 60
AGENT 18/JACK TRUMAN	C2 61
AGENT 18/JACK TRUMAN	C2 62
AGENT-X/	GR3 29
AGENT-X/	SSWP 7
AGGAMON	ST 119/2
AGGAMON	DS@ 2/5
AGINAR	E 11
AGINAR	T 291
AGINAR	A 248
AGON	INH2 1
AGONY/	MK3 44
AGUIRRE, ISOBEL	FF3 3
AGUIRRE, ISOBEL	FF3 4
AGUIRRE, ISOBEL	FF3 5
AHAB/RORY CAMPBELL	XCAL 52
AHAB/RORY CAMPBELL	UX 199
AHAB/RORY CAMPBELL	XCAL 35
AHAB/RORY CAMPBELL	FF@ 23
AHAB/RORY CAMPBELL	XF@ 5
AHAB/RORY CAMPBELL	NM@ 6
AHAB/RORY CAMPBELL	UX@ 14
AHAB/RORY CAMPBELL	XCAL 66
AHAB/RORY CAMPBELL	C2 71
AHAB/RORY CAMPBELL	X 96
AHAB/RORY CAMPBELL	UX 377
AHAB/RORY CAMPBELL	X 97
AHQLAU	E2 2
AHQLAU	E2 5
AHQLAU	E2 7
AHQLAU	E2 9
AHQLAU	E2 10
AHURA	INHUMANS GRAPHIC NOVEL
AHURA	I:GR
AHURA	FF 402
AHURA	AR 2
AHURA	FFU 11
AHURA	FF 411
AHURA	FF 413
AI-CHIA	W2 119
AI-CHIA	W2 121
AINET	X 77
AINET	X 78
AIR WALKER/ARLO SAMUELSON	M/SH3 11/2
AIR-WALKER/GABRIEL LAN	T 306
AIR-WALKER/GABRIEL LAN	FF 120
AIR-WALKER/GABRIEL LAN	FF 121
AIR-WALKER/GABRIEL LAN	T 305
AIR-WALKER/GABRIEL LAN	SS3 73
AIR-WALKER/GABRIEL LAN	SS3 74
AIR-WALKER/GABRIEL LAN	SS3 75
AIR-WALKER/GABRIEL LAN	SS@ 7
AIR-WALKER/GABRIEL LAN	SS3 106
AIR-WALKER/GABRIEL LAN	SS3 107
AIR-WALKER/GABRIEL LAN	SS3 108
AIR-WALKER/GABRIEL LAN	SS3 109
AIRBORNE/	IM3 1
AIRBORNE/	IM '99
AIREO/AEOLUS [INHUMAN]	FF 47
AIREO/AEOLUS [INHUMAN]	H@ 1
AIREO/AEOLUS [INHUMAN]	FF 83
AIREO/AEOLUS [INHUMAN]	H2 119
AIREO/AEOLUS [INHUMAN]	AA2 1
AIREO/AEOLUS [INHUMAN]	AA2 2
AIREO/AEOLUS [INHUMAN]	SS 18
AIREO/AEOLUS [INHUMAN]	INH 4
AIREO/AEOLUS [INHUMAN]	INH 5
AIREO/AEOLUS [INHUMAN]	INH 6
AIREO/AEOLUS [INHUMAN]	M/FAN 14/2
AIREO/AEOLUS [INHUMAN]	NW 7
AIREO/AEOLUS [INHUMAN]	NW 8
AIREO/AEOLUS [INHUMAN]	NW 9
AIREO/AEOLUS [INHUMAN]	NW 29
AIREO/AEOLUS [INHUMAN]	NW 30
AJAK/TECUMOTZIN [ETERNAL]	E:HEROD
AJAK/TECUMOTZIN [ETERNAL]	T@ 7
AJAK/TECUMOTZIN [ETERNAL]	T 300
AJAK/TECUMOTZIN [ETERNAL]	E 2
AJAK/TECUMOTZIN [ETERNAL]	E 3
AJAK/TECUMOTZIN [ETERNAL]	E 4
AJAK/TECUMOTZIN [ETERNAL]	E 7
AJAK/TECUMOTZIN [ETERNAL]	E 12
AJAK/TECUMOTZIN [ETERNAL]	T 284
AJAK/TECUMOTZIN [ETERNAL]	T 291
AJAK/TECUMOTZIN [ETERNAL]	T 301
AJAK/TECUMOTZIN [ETERNAL]	COC 1
AJAK/TECUMOTZIN [ETERNAL]	IM@ 6
AJAK/TECUMOTZIN [ETERNAL]	A 248
AJAX	H2 379
AJAX	H2 381
AJAX	H2 382
AJAX	H@ 18/3
AJAX	DRSTR@ 2
AJAX	H2 391
AJAX	XF 76
AJAX	H2 392
AJAX	H2 393
AJAX	H2 394
AJAX	H2 395
AJAX	H2 397
AJAX	H@ 20/3
AJAX	H2 421
AJAX	H2 423
AJAX	H2 424
AJAX	H2 425
AJAX	H2 444
AJAX	H2 446
AJAX	H2 448
AJAX II	DPOOL3 15
AJAX II	DPOOL3 16
AJAX II	DPOOL3 19
AJES'HA	TB 45
AKAFE	BP3 31
AKAFE	BP3 33
AKULIA	M/CP 69/2
AKULIA	M/CP 70/2
AKULIA	M/CO 71/2
AKUTAGAWA, OSAMU	CA3 1
AL-KHALAD	DOOM2 1
AL-KHALAD	DOOM2 2
ALANYA	CA3 21
ALBERIK	MAXSEC:DP
ALBERT	W2 37
ALBERT	W2 38
ALBERT	W2 39
ALBERT	W2 40
ALBERT	W2 41
ALBERT	W2 42
ALBERT	W2 43
ALBERT	W2 45
ALBERT	W2 46
ALBERT	W2 51
ALBERT	W2 52
ALBERT	W2 53
ALBERT	W2 84
ALBERT	W2 82
ALBERT	W2 83
ALBERT	W2 86
ALBERT	GENX 42
ALBINO/DR. AUGUSTA SEGER	HAWK2
ALBUQUERQUE, JEREMIAH	NOM2 3
ALCHEMY/THOMAS JONES	XF 40
ALCHEMY/THOMAS JONES	XF 41
ALCHEMY/THOMAS JONES	XCAL 57
ALCHEMY/THOMAS JONES	XCAL 58
ALDEN, PROF. MEREDITH MCCALL	IM 28
ALDEN, PROF. MEREDITH MCCALL	A:T
ALDEN, PROF. MEREDITH MCCALL	IM 326
ALDEN, PROF. MEREDITH MCCALL	IM 327
ALEGRIA, RICHIE	XFOR 71
ALEGRIA, RICHIE	XFOR 72
ALEGRIA, RICHIE	XFOR 73
ALEGRIA, RICHIE	XFOR 74
ALEXANDER, CALEB	N 1
ALEXANDER, CALEB	N 2
ALEXANDER, CALEB	N 3
ALEXANDER, CALEB	M/SH3 10/2
ALEXANDER, CALEB	N 6
ALEXANDER, CALEB	N 8
ALEXANDER, CALEB	N 9
ALEXANDER, CALEB	N@ 1/3
ALEXANDER, CALEB	N 17
ALEXANDER, CALEB	N 19
ALEXANDER, CALEB	N 26
ALEXANDER, CALEB	N 28
ALEXANDER, CARRIE	N 1
ALEXANDER, CARRIE	N 2
ALEXANDER, CARRIE	N 3
ALEXANDER, CARRIE	N 4
ALEXANDER, CARRIE	M/SH3 10/2
ALEXANDER, CARRIE	N 6
ALEXANDER, CARRIE	N 8
ALEXANDER, CARRIE	N 9
ALEXANDER, CARRIE	N@ 1/3
ALEXANDER, CARRIE	WOSM 73
ALEXANDER, CARRIE	N 13
ALEXANDER, CARRIE	N 15
ALEXANDER, CARRIE	N 16
ALEXANDER, CARRIE	N 17
ALEXANDER, CARRIE	N 18
ALEXANDER, CARRIE	N 19
ALEXANDER, CARRIE	N@ 2/4
ALEXANDER, CARRIE	N 26
ALEXANDER, CARRIE	N 28
ALEXANDER, CARRIE	N 54
ALEXANDER, CARRIE	N 55
ALEXANDER, CARRIE	N 56
ALEXANDER, CARRIE	N 57
ALEXANDER, CARRIE	N 58
ALFY	LSHOT 5
ALFY	NM@ 2
ALFY	UX@ 10
ALIOTH	AVF 9
ALIST	SS3 112
ALISTRO	JIM 508
ALLEN, TERRY	FF3 40
ALOUETTE, GENARD	GAM3 17
ALOUETTE, GENARD	GAM3 22
ALPHA	FF 15
ALPHA	FF 16
ALRAUNE, MARLENE	M/SPT 28
ALRAUNE, MARLENE	M/SPT 29
ALRAUNE, MARLENE	PPTSS 23
ALRAUNE, MARLENE	HMAG 11/2
ALRAUNE, MARLENE	HMAG 12/2
ALRAUNE, MARLENE	HMAG 13/2
ALRAUNE, MARLENE	HMAG 14/2
ALRAUNE, MARLENE	HMAG 17/2
ALRAUNE, MARLENE	HMAG 18/2
ALRAUNE, MARLENE	HMAG 20/2
ALRAUNE, MARLENE	M/PRV 21
ALRAUNE, MARLENE	MK 1
ALRAUNE, MARLENE	MK 2
ALRAUNE, MARLENE	MK 3
ALRAUNE, MARLENE	MK 6
ALRAUNE, MARLENE	MK 7
ALRAUNE, MARLENE	MK 8
ALRAUNE, MARLENE	MK 9
ALRAUNE, MARLENE	MK 10
ALRAUNE, MARLENE	MK 11
ALRAUNE, MARLENE	MK 12
ALRAUNE, MARLENE	M/TU@ 4
ALRAUNE, MARLENE	ASM 220
ALRAUNE, MARLENE	MK 13
ALRAUNE, MARLENE	MK 14
ALRAUNE, MARLENE	MK 15
ALRAUNE, MARLENE	MK 16
ALRAUNE, MARLENE	MK 17
ALRAUNE, MARLENE	MK 18
ALRAUNE, MARLENE	MK 20
ALRAUNE, MARLENE	MK 22
ALRAUNE, MARLENE	MK 23
ALRAUNE, MARLENE	PM&IF 87
ALRAUNE, MARLENE	MK 24
ALRAUNE, MARLENE	MK 25
ALRAUNE, MARLENE	MK 26/2
ALRAUNE, MARLENE	MK 27
ALRAUNE, MARLENE	MK 28
ALRAUNE, MARLENE	MK 29
ALRAUNE, MARLENE	MK 30
ALRAUNE, MARLENE	MK 32
ALRAUNE, MARLENE	MK 32/2
ALRAUNE, MARLENE	MK 34/2
ALRAUNE, MARLENE	MK 35
ALRAUNE, MARLENE	MK 36
ALRAUNE, MARLENE	MK 37
ALRAUNE, MARLENE	MK 38
ALRAUNE, MARLENE	MK2 1
ALRAUNE, MARLENE	MK2 2
ALRAUNE, MARLENE	M/FAN 30
ALRAUNE, MARLENE	MK2 3
ALRAUNE, MARLENE	MK2 4
ALRAUNE, MARLENE	MK3 1
ALRAUNE, MARLENE	MK3 2
ALRAUNE, MARLENE	MK3 3
ALRAUNE, MARLENE	MK3 4
ALRAUNE, MARLENE	MK3 5
ALRAUNE, MARLENE	MK3 11
ALRAUNE, MARLENE	MK3 14
ALRAUNE, MARLENE	MK3 15
ALRAUNE, MARLENE	MK3 16
ALRAUNE, MARLENE	MK3 17
ALRAUNE, MARLENE	MK3 18
ALRAUNE, MARLENE	MK3 19
ALRAUNE, MARLENE	MK3 22
ALRAUNE, MARLENE	MK3 23
ALRAUNE, MARLENE	MK3 25
ALRAUNE, MARLENE	MK3 26
ALRAUNE, MARLENE	MK3 28
ALRAUNE, MARLENE	MK3 29
ALRAUNE, MARLENE	MK3 31
ALRAUNE, MARLENE	MK3 32
ALRAUNE, MARLENE	MK3 33
ALRAUNE, MARLENE	ASM 357
ALRAUNE, MARLENE	MK3 34
ALRAUNE, MARLENE	MK3 35
ALRAUNE, MARLENE	MK3 38
ALRAUNE, MARLENE	MK4 1
ALRAUNE, MARLENE	MK4 2
ALRAUNE, MARLENE	MK4 3
ALRAUNE, MARLENE	MK4 4
ALRAUNE, MARLENE	BP3 20
ALVAREZ, CARLY	UX 338
ALVAREZ, CARLY	X 59
ALVAREZ, CARLY	UX 340
ALVAREZ, PAUL	FFOR 2
ALVAREZ, PAUL	FFOR 3
ALVAREZ, PAUL	FFOR 5
ALVAREZ, PAUL	FFOR 8
ALVAREZ, PAUL	FFOR 9
ALVAREZ, PAUL	FFOR 16
ALVAREZ, FELIX	IM 238
ALVAREZ, FELIX	IM 239
ALVAREZ, FELIX	IM 241
ALVAREZ, FELIX	IM 242
ALVAREZ, FELIX	IM 243
ALVAREZ, FELIX	IM 245
ALVAREZ, FELIX	IM 246
ALVAREZ, FELIX	IM 247
ALVAREZ, FELIX	IM 248
ALVAREZ, FELIX	IM 256
ALVAREZ, FELIX	IM 281
ALVAREZ, FELIX	IM 283
ALVAREZ, FELIX	IM 284
ALVAREZ, FELIX	IM 285
ALVAREZ, FELIX	IM 286
ALVAREZ, FELIX	IM 306
ALVAREZ, FELIX	WARM 8
ALVAREZ, FELIX	IM 310
ALVAREZ, FELIX	FW 8
AMAZO-MAXI-WOMAN/	REMNANTS
AMAZON	HFH 12
AMENHOTEP	A 353
AMENHOTEP	A 354
AMERICAN EAGLE II/JAMES DORE	A 85
AMERICAN EAGLE III/JASON STRONGBOW	M/TIO@ 6
AMERICAN EAGLE III/JASON STRONGBOW	COC 3
AMERICAN EAGLE III/JASON STRONGBOW	H2 279
AMERICAN EAGLE III/JASON STRONGBOW	ROM 65
AMERICAN EAGLE III/JASON STRONGBOW	M/CP 27/4
AMERICAN SAMURAI/	ELEK 11
AMERICAN SAMURAI/	ELEK 12
